n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
5000,64,0.0,0.001,2,42497,0.2125,6000,256,6000,1,5.03e-06,5.03e-06,5.05e-06,5.05e-06,5.6e-06,5.6e-06,2e-08,nan,0.0,5.05e-06,1.85,3.09135,1,8.18
5000,64,0.0,0.003,2,42497,0.2125,6000,256,6000,1,7.68e-06,7.68e-06,7.59e-06,7.59e-06,8.04e-06,8.04e-06,-9e-08,nan,0.0,7.59e-06,1.55,2.59005,1,8.14
10000,64,0.0,0.001,2,42497,0.1062,6000,256,4468,1,4.58e-06,4.58e-06,4.18e-06,4.18e-06,4.88e-06,4.88e-06,-4e-07,nan,0.0,1.039e-05,1.8,3.0078,1,8.05
10000,64,0.0,0.003,2,42497,0.1062,6000,256,6000,1,2.15e-06,2.15e-06,2e-06,2e-06,2.34e-06,2.34e-06,-1.6e-07,nan,0.0,2e-06,2.0,3.342,1,8.03
20000,64,0.0,0.001,2,42497,0.0531,6000,256,5177,1,5.36e-06,5.36e-06,4.9e-06,4.9e-06,5.49e-06,5.49e-06,-4.7e-07,nan,0.0,6.35e-06,1.7,2.8407,1,8.08
20000,64,0.0,0.003,2,42497,0.0531,6000,256,6000,1,1.89e-06,1.89e-06,1.64e-06,1.64e-06,1.95e-06,1.95e-06,-2.5e-07,nan,0.0,1.64e-06,2.0,3.342,1,8.08
500,128,0.0,0.001,2,166913,8.3456,6000,256,6000,1,2.16e-06,2.16e-06,3.42e-06,3.42e-06,4e-06,4e-06,1.26e-06,nan,0.0,3.42e-06,1.8,3.0078,1,8.41
500,128,0.0,0.003,2,166913,8.3456,6000,256,6000,1,2.17e-06,2.17e-06,4.28e-06,4.28e-06,5.06e-06,5.06e-06,2.11e-06,nan,0.0,4.28e-06,1.9,3.1749,1,7.29
1000,128,0.0,0.001,2,166913,4.1728,6000,256,4468,1,2.95e-06,2.95e-06,3.75e-06,3.75e-06,4.42e-06,4.42e-06,8e-07,nan,0.0,1.394e-05,1.85,3.09135,1,7.03
1000,128,0.0,0.003,2,166913,4.1728,6000,256,2477,1,2.7e-06,2.7e-06,3.62e-06,3.62e-06,4.79e-06,4.79e-06,9.2e-07,nan,0.0,8.27e-06,1.85,3.09135,1,7.02
2000,128,0.0,0.001,2,166913,2.0864,6000,256,3855,1,3.63e-06,3.63e-06,4.08e-06,4.08e-06,4.72e-06,4.72e-06,4.5e-07,nan,0.0,6.85e-06,1.8,3.0078,1,6.98
2000,128,0.0,0.003,2,166913,2.0864,6000,256,2477,1,3.69e-06,3.69e-06,4.02e-06,4.02e-06,4.99e-06,4.99e-06,3.3e-07,nan,0.0,8.06e-06,1.85,3.09135,1,6.98
5000,128,0.0,0.001,2,166913,0.8346,6000,256,2477,1,5.8e-06,5.8e-06,5.65e-06,5.65e-06,6.73e-06,6.73e-06,-1.4e-07,nan,0.0,8.01e-06,1.65,2.75715,1,7.09
5000,128,0.0,0.003,2,166913,0.8346,6000,256,4468,1,3.55e-06,3.55e-06,3.6e-06,3.6e-06,4.08e-06,4.08e-06,4e-08,nan,0.0,4.674e-05,1.7,2.8407,1,7.09
10000,128,0.0,0.001,2,166913,0.4173,6000,256,4468,1,7.4e-06,7.4e-06,6.93e-06,6.93e-06,7.66e-06,7.66e-06,-4.7e-07,nan,0.0,1.757e-05,1.75,2.92425,1,7.06
10000,128,0.0,0.003,2,166913,0.4173,6000,256,1844,0,4.17e-06,4.17e-06,3.73e-06,3.73e-06,4.41e-06,4.41e-06,-4.4e-07,nan,0.0,4.43e-06,1.75,2.92425,1,7.05
20000,128,0.0,0.001,2,166913,0.2086,6000,256,5177,1,3.98e-06,3.98e-06,3.63e-06,3.63e-06,4.07e-06,4.07e-06,-3.4e-07,nan,0.0,6.1e-05,1.85,3.09135,1,7.04
20000,128,0.0,0.003,2,166913,0.2086,6000,256,4468,1,3.43e-06,3.43e-06,3.11e-06,3.11e-06,3.47e-06,3.47e-06,-3.2e-07,nan,0.0,8.74e-06,2.0,3.342,1,7.05
500,512,0.0,0.001,2,2633729,131.6865,6000,256,6000,1,1.83e-06,1.83e-06,3.94e-06,3.94e-06,4.91e-06,4.91e-06,2.11e-06,nan,0.0,3.94e-06,1.85,3.09135,1,22.89
500,512,0.0,0.003,2,2633729,131.6865,6000,256,6000,1,7.97e-06,7.97e-06,2.256e-05,2.256e-05,2.489e-05,2.489e-05,1.459e-05,nan,0.0,2.256e-05,1.55,2.59005,1,21.85
1000,512,0.0,0.001,2,2633729,65.8432,6000,256,4468,1,1.86e-06,1.86e-06,2.89e-06,2.89e-06,3.69e-06,3.69e-06,1.03e-06,nan,0.0,5.2e-06,2.0,3.342,1,21.79
1000,512,0.0,0.003,2,2633729,65.8432,6000,256,5177,1,1.005e-05,1.005e-05,1.753e-05,1.753e-05,2.081e-05,2.081e-05,7.47e-06,nan,0.0,2.734e-05,1.6,2.6736,1,21.8
2000,512,0.0,0.001,2,2633729,32.9216,6000,256,5177,1,2.5e-06,2.5e-06,3e-06,3e-06,3.57e-06,3.57e-06,5e-07,nan,0.0,2.949e-05,1.9,3.1749,1,22.11
2000,512,0.0,0.003,2,2633729,32.9216,6000,256,6000,1,7.51e-06,7.51e-06,1.188e-05,1.188e-05,1.38e-05,1.38e-05,4.37e-06,nan,0.0,1.188e-05,1.8,3.0078,1,22.1
5000,512,0.0,0.001,2,2633729,13.1686,6000,256,6000,1,2.03e-06,2.03e-06,2.11e-06,2.11e-06,2.58e-06,2.58e-06,8e-08,nan,0.0,2.11e-06,2.0,3.342,1,22.76
5000,512,0.0,0.003,2,2633729,13.1686,6000,256,6000,1,9.41e-06,9.41e-06,1.048e-05,1.048e-05,1.202e-05,1.202e-05,1.07e-06,nan,0.0,1.048e-05,1.65,2.75715,1,22.75
10000,512,0.0,0.001,2,2633729,6.5843,6000,256,3855,1,3.32e-06,3.32e-06,3.03e-06,3.03e-06,3.61e-06,3.61e-06,-3e-07,nan,0.0,5.59e-06,1.95,3.25845,1,22.74
10000,512,0.0,0.003,2,2633729,6.5843,6000,256,5177,1,1.161e-05,1.161e-05,1.222e-05,1.222e-05,1.348e-05,1.348e-05,6e-07,nan,0.0,3.298e-05,1.85,3.09135,1,22.74
20000,512,0.0,0.001,2,2633729,3.2922,6000,256,3855,1,2.84e-06,2.84e-06,2.42e-06,2.42e-06,2.94e-06,2.94e-06,-4.1e-07,nan,0.0,6.709e-05,2.0,3.342,1,22.65
20000,512,0.0,0.003,2,2633729,3.2922,6000,256,3855,1,1.826e-05,1.826e-05,1.638e-05,1.638e-05,1.865e-05,1.865e-05,-1.89e-06,nan,0.0,0.00025981,1.5,2.5065,1,22.67
500,64,0.1,0.001,0,42497,2.1248,6000,256,72,0,0.02036968,0.00323907,0.02082593,0.00344941,0.02090378,0.00358016,0.00021034,1.01848384,0.02,0.01909879,0.4,0.6684,1,10.09
500,64,0.1,0.003,0,42497,2.1248,6000,256,40,0,0.02051463,0.00349478,0.02092811,0.00369199,0.02102094,0.00383639,0.00019721,1.0257313,0.02,0.06832191,0.4,0.6684,1,8.49
1000,64,0.1,0.001,0,42497,1.0624,6000,256,72,0,0.02088889,0.00319778,0.0211038,0.00336079,0.02116986,0.00348483,0.00016301,1.04444427,0.02,0.01051183,0.4,0.6684,1,8.16
1000,64,0.1,0.003,0,42497,1.0624,6000,256,40,0,0.02102577,0.0035348,0.02118523,0.00365911,0.02127976,0.00381251,0.00012431,1.05128828,0.02,0.03960006,0.4,0.6684,1,8.18
2000,64,0.1,0.001,0,42497,0.5312,6000,256,72,0,0.02117419,0.00323525,0.02138606,0.0033885,0.02145736,0.00351954,0.00015325,1.05870934,0.02,0.00881681,0.4,0.6684,1,8.0
2000,64,0.1,0.003,0,42497,0.5312,6000,256,46,0,0.01957243,0.00372558,0.01972689,0.00385273,0.01978157,0.00395401,0.00012715,0.97862147,0.02,0.01510846,0.45,0.75195,1,8.0
5000,64,0.1,0.001,0,42497,0.2125,6000,256,72,0,0.02151403,0.00346916,0.02160337,0.00343143,0.02168034,0.0035632,-3.773e-05,1.07570169,0.02,0.00824252,0.4,0.6684,1,7.97
5000,64,0.1,0.003,0,42497,0.2125,6000,256,40,0,0.02150445,0.00369853,0.02159764,0.00366263,0.02167656,0.00380005,-3.591e-05,1.07522262,0.02,0.00857156,0.35,0.58485,1,8.0
10000,64,0.1,0.001,0,42497,0.1062,6000,256,72,0,0.02133342,0.00323739,0.02144727,0.00325603,0.02149616,0.00336508,1.864e-05,1.06667085,0.02,0.00812621,0.4,0.6684,1,7.98
